mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
"RBFSampler(45,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",1.6582926833140066,2.2067645418833672,3.765921774227021,3.6833964615217503,0,0.11513953993264472,11.239294984236164
"RBFSampler(48,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.8497931583223617,0.8207303288886755,2.0380459223750864,2.832606610924164,0,0.12067926406393285,18.131712973274073
"RBFSampler(50,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",1.3490469398764204,2.045245535142963,2.8715800774873355,3.3954037942456727,0,0.12648552168552962,15.571297308704565
"RBFSampler(52,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",1.4981610733287418,1.4291966491275097,3.8051121816280573,3.6083879484839234,0,0.13257113655901093,20.894373534722973
"RBFSampler(55,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.38385429650607455,0.40929085819705824,2.5836478572259156,1.2183870444141969,0,0.13894954943731375,19.880256748023392
"RBFSampler(57,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3964043607051163,0.683468302978279,1.8119504788521739,0.7775731210624262,0,0.14563484775012436,22.50226174899244
"RBFSampler(60,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.8484752567381786,1.3597105445776978,2.245233088163802,3.0638970072394445,0,0.15264179671752334,16.85324094818605
"RBFSampler(63,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.32708417290750513,0.40984705653737624,1.0149366052158437,1.1794992863378528,0,0.15998587196060582,22.34307828580139
"RBFSampler(66,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.623704808921182,0.8248556149766264,2.617674644417826,2.7049002414332963,0,0.16768329368110083,24.395304709543673
"RBFSampler(69,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.6673119559261788,0.8045133733987275,1.8848971460116593,1.8689313695719665,0,0.1757510624854792,23.486639863087227
"RBFSampler(73,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.7160036814082739,0.9504403319737507,2.3938024493526338,2.727396689125739,0,0.1842069969326716,21.5716400360264
"RBFSampler(76,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.24246396355405145,0.5563777512583066,1.6739247409064206,1.5507702629188789,0,0.193069772888325,32.40232473572163
"RBFSampler(80,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.35674092059609197,0.508998676071718,1.809067127800815,1.2960161214882147,0,0.20235896477251566,39.23915568713697
"RBFSampler(84,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.30485137174672083,0.9020436129114253,2.111217718156286,2.019656926745659,0,0.21209508879201905,28.45542497858478
"RBFSampler(88,0.6,0,1000,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.4118821988796021,1.1806827166979381,3.8481020133096315,2.208602089514669,0,0.22229964825261944,31.69326128405452
