mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion
"RandomForest(2998,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.35568032084608536,0.0,0.9803962325023887,6,1.0000230261160268
"RandomForest(3293,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.0985659208902707
"RandomForest(3618,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.2068192941803975
"RandomForest(3974,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.3257400226158529
"RandomForest(4366,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.4563792740479293
"RandomForest(4796,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.599891799065772
"RandomForest(5269,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.7575461381041833
"RandomForest(5788,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.24293232302191223,0.0,0.8703672487760746,6,1.9307358343662218
"RandomForest(6358,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",9.920081989155328e-33,0.18036754141550043,9.920081989155328e-33,0.7365870547718246,6,2.120991751674208
"RandomForest(6985,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",9.920081989155328e-33,0.18036754141550043,9.920081989155328e-33,0.7365870547718246,6,2.3299956061294758
"RandomForest(7673,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",9.920081989155328e-33,0.18036754141550043,9.920081989155328e-33,0.7365870547718246,6,2.5595948311903474
"RandomForest(8429,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",9.920081989155328e-33,0.18036754141550043,9.920081989155328e-33,0.7365870547718246,6,2.8118189075641893
"RandomForest(9260,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.1783205478270279,0.0,0.7376999819886247,6,3.0888973022572523
"RandomForest(10173,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.1783205478270279,0.0,0.7376999819886247,6,3.393279175349708
"RandomForest(11175,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",0.0,0.1783205478270279,0.0,0.7376999819886247,6,3.7276550286886314
"RandomForest(12276,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",7.151526828549878e-33,0.16935464370626396,7.151526828549878e-33,0.8336994540775464,6,4.094980487856734
"RandomForest(13486,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",7.151526828549878e-33,0.16935464370626396,7.151526828549878e-33,0.8336994540775464,6,4.498502427631178
"RandomForest(14815,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",7.151526828549878e-33,0.16935464370626396,7.151526828549878e-33,0.8336994540775464,6,4.941787671861451
"RandomForest(16275,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",2.5792535628959993e-32,0.1746734988884029,2.5792535628959993e-32,0.8840234852814174,6,5.42875452145117
"RandomForest(17879,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",2.5792535628959993e-32,0.1746734988884029,2.5792535628959993e-32,0.8840234852814174,6,5.963707389126934
"RandomForest(19641,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",5.055696793267015e-32,0.17000736206263684,5.055696793267015e-32,0.9932806095640822,6,6.551374847138977
"RandomForest(21576,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",4.460649564249929e-32,0.16148338803710469,4.460649564249929e-32,0.8614937829366274,6,7.196951424206053
"RandomForest(23702,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",4.460649564249929e-32,0.16148338803710469,4.460649564249929e-32,0.8614937829366274,6,7.906143521157425
"RandomForest(26038,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",4.462113143329686e-32,0.15514837880672575,4.462113143329686e-32,0.8310333505937653,6,8.685219851130944
"RandomForest(28604,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",6.993639006991865e-32,0.15923514628602445,6.993639006991865e-32,0.919984831856897,6,9.541066850179817
"RandomForest(31422,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.065225769970891e-31,0.15953218325480564,1.065225769970891e-31,0.8779185352716452,6,10.481249548075228
"RandomForest(34519,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.1439303196736658e-31,0.16055380448812942,1.1439303196736658e-31,0.8405544056730052,6,11.514078437355955
"RandomForest(37920,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.444294267302014e-31,0.1597549267498595,1.444294267302014e-31,0.9252006930549538,6,12.648682931695983
"RandomForest(41657,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.4736515296530988e-31,0.15570301267765868,1.4736515296530988e-31,0.8148922019301348,6,13.895092062905603
"RandomForest(45762,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.8945946395021791e-31,0.15527228125393622,1.8945946395021791e-31,0.8261532970846788,6,15.264323129865526
"RandomForest(50271,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.8455467429550424e-31,0.14691822447737063,1.8455467429550424e-31,0.8039571324346099,6,16.768479082982424
"RandomForest(55225,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",2.5985361168960273e-31,0.1486500476910339,2.5985361168960273e-31,0.9622148895157794,6,18.42085550496966
