mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
"RBFSampler(92,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.33006068051325105,1.1309025261489758,3.0499444027567604,1.8895543759142146,0,0.23357214690901226,31.87147593374327
"RBFSampler(104,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.20478231951491435,0.42084052364397706,1.63634955928826,3.8396591718068334,0,0.26366508987303583,31.619138381633157
"RBFSampler(118,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.11688777365786078,0.3384273188228206,1.8514013926553563,1.328658018592232,0,0.29763514416313175,36.72412386948397
"RBFSampler(133,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.038731342279355443,0.11411937842177754,0.3897918340662987,0.24817485855503096,0,0.33598182862837817,34.20593614548219
"RBFSampler(150,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.04031209485170955,0.16566567774045457,0.7259600166745824,0.5710951566051644,0,0.37926901907322497,33.1445031425193
"RBFSampler(170,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.021860894802881715,0.05515026614752691,0.3406648771433621,0.17442720664810793,0,0.42813323987193935,30.400862341592028
"RBFSampler(192,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.023184323705419722,0.11568663447815078,0.3363122019896044,0.4099369342496231,0,0.4832930238571752,32.263500422726416
"RBFSampler(217,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.014007150116698478,0.09889511315272757,0.36410395682176594,0.24390043964294728,0,0.5455594781168519,28.088709897937715
"RBFSampler(245,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.010105055163736037,0.07942503839407504,0.2307965338226512,1.0476015890315682,0,0.6158482110660264,27.149962723440115
"RBFSampler(276,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.012831972998486813,0.12972688168311325,0.13376720691952118,0.31821636526490027,0,0.6951927961775606,28.85610262746278
"RBFSampler(312,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.006956483748596496,0.07677961481507115,0.10464273497689065,0.22758943626303912,0,0.7847599703514611,23.837378179357327
"RBFSampler(352,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.00683590934543916,0.13191592218983225,0.10518181529457807,0.3400157733425682,0,0.8858667904100825,24.86831202730976
"RBFSampler(398,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.005929586953946723,0.15344490847645867,0.08776478678462504,0.2697767701038211,0,1.0,23.93893773002799
"RBFSampler(398,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.005929586953946723,0.15344490847645867,0.08776478678462504,0.2697767701038211,0,1.0000230261160268,23.93893773002799
"RBFSampler(572,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.004789510574010779,0.08973298461075492,0.03944568391606732,0.1857830065639352,0,1.4384812669240425,20.54169810977288
"RBFSampler(823,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.004078470879330009,0.2729653899140862,0.04201546386909848,0.28056790577801244,0,2.0691807100962873,22.389420824372333
"RBFSampler(1184,0.6,0,min-norm,100,0.01)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.003204023267004129,0.1484691252067242,0.05149655006443676,0.29760831928206116,0,2.976409154211569,20.681403129631644
