dset,mdl,mse_pred_test,mse_pred_train,mse_sim_test,mse_sim_train,proportion,seed,param_norm
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(610,0.6,0)",7.316898482747828,1.0634061300522711e-27,858.6051168109553,756.3821702278194,1.526450962742833,0,723.7669755857119
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(703,0.6,0)",4.439061960042079,2.6289083624855284e-28,186.59723937180343,158.57573263869926,1.757547789900689,0,413.0456622465175
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(809,0.6,0)",7.639140286526606,1.8048330960546258e-28,66.09926911659012,40.270304836167206,2.0236314884523465,0,268.18488271669935
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(931,0.6,0)",2.1568338700850034,1.1963689580753677e-28,48.259005705258815,42.0687777382316,2.329998890833719,0,245.33693200766865
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(1073,0.6,0)",2.3304008580167075,7.904037916526093e-29,36.44766376128276,29.471219037092755,2.682748742676625,0,195.4828732694825
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(1235,0.6,0)",2.682912668709785,7.641158350717955e-29,7.229485825966605,11.352446611943904,3.088903108343428,0,172.5679834497386
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(1422,0.6,0)",1.2342062226203527,6.955879958290839e-29,7.977883772050496,6.5520963424310255,3.5565471566353795,0,115.0265280299227
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(1637,0.6,0)",0.6673034973968649,7.089919262717836e-29,5.725489292230259,4.982179070476382,4.094990109338473,0,105.15557488107876
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(1885,0.6,0)",0.6694145762643721,7.345952195963876e-29,4.711392947877151,3.2843882725032207,4.714950556551579,0,91.57371779033697
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(2171,0.6,0)",0.7644561841287104,3.9120911097384505e-29,3.76419389526965,2.0251051717756656,5.428769827802423,0,82.64036446965397
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(2500,0.6,0)",0.5964700232437876,4.202118605818261e-29,4.22855362213182,2.0281174029225655,6.25065766645342,0,77.0066649091035
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(2878,0.6,0)",0.5113753184049553,3.7057740740085825e-29,3.026281986393824,2.1677165458632075,7.196975097949365,0,69.77617164466015
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(3314,0.6,0)",0.628310770020766,1.3704415036719493e-28,1.8769488708508164,1.0627576634289837,8.2865601228634,0,58.96745939334621
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(3816,0.6,0)",0.48928515729386673,5.922369672330505e-29,2.094103362394931,1.0244820240092376,9.541102718195479,0,59.54798744056173
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(4394,0.6,0)",0.4165272980570744,4.172568356184613e-29,2.218310186824745,0.6032305368781901,10.985576611939317,0,51.59244462678217
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(5059,0.6,0)",0.4210974055446932,5.270999841254906e-29,1.7821820909254265,0.03958682302064226,12.648736426098665,0,50.01966146840322
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(5825,0.6,0)",0.442344228927635,6.632064743285483e-29,0.940299699626049,0.7449783986124502,14.563690084600085,0,49.74328613710218
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(6707,0.6,0)",0.3327516965072371,5.114323504671021e-29,1.7819028030551978,0.537043782172827,16.768557880820556,0,45.9364978762875
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(7722,0.6,0)",0.2138458370635038,4.850503717284505e-29,1.2652009672099118,0.03269406163815769,19.307231324550013,0,45.6698850568872
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(8892,0.6,0)",0.33268240588593695,5.939687798917114e-29,1.5862823276282096,0.3681245508378763,22.230246874482216,0,44.87126052437495
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(10238,0.6,0)",0.2849283219252449,5.900988414243635e-29,1.4209580974063183,2.059448800893396e-09,25.595791949312236,0,39.68444790937867
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(11788,0.6,0)",0.261509031498308,5.50975758211894e-29,0.5278924626040578,1.0946569533262646e-05,29.470863243741494,0,40.38528178116761
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(13573,0.6,0)",0.3317409839031353,1.1035647247032105e-28,1.0117736920565557,2.720854888201572e-12,33.932600407570156,0,38.1880749044552
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(15627,0.6,0)",0.29205785213902974,1.2365389063978656e-28,0.9849481377532495,1.457097193426926e-16,39.06982163694676,0,37.0937827424314
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(17993,0.6,0)",0.27872174250024867,1.241260901995026e-28,0.609182363646722,4.3635442372962404e-10,44.98479174623736,0,38.21342276850221
"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)","RBFSampler(20718,0.6,0)",0.28124623668917287,1.0325023398780956e-28,1.220866777764613,1.2435157036945154e-10,51.795257916884864,0,36.20598579214592
