mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
"RBFNet(120,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.12471477884511947,0.25109732135528934,16182224.39683797,150110.85764019156,0,0.30391953823131973,14005603.816360004
"RBFNet(130,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.11436886671973566,0.15101748145025776,1005.1206539623194,73.7620583489976,0,0.32903445623126687,13495368.520360665
"RBFNet(141,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.1028847353212974,0.21495878554953304,1153.90947533182,139494.7760948196,0,0.3562247890262442,13705921.296068534
"RBFNet(153,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.08626170880336835,0.18801052146407002,395654.2724350709,57139.28629920107,0,0.38566204211634714,13088541.674189992
"RBFNet(166,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.051286910172731494,0.18754300649360475,195900345.89232594,629.1357716593134,0,0.41753189365604015,10633694.190079896
"RBFNet(179,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.05035655970097409,0.17561945278741195,366356.27793916245,91897.5683759975,0,0.4520353656360243,10400986.59202295
"RBFNet(194,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.04648595828760903,0.18648797313994178,556828.4557500808,3429487.48291046,0,0.4893900918477494,10158873.826555094
"RBFNet(210,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.037765364685127485,1.1633860717518958,547.4255989049796,22.568183077126935,0,0.5298316906283709,6141403.920690936
"RBFNet(228,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.032303220889377836,0.8715950846383975,10347.357133703696,237917.4867810992,0,0.5736152510448679,6073191.333737357
"RBFNet(247,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.023686427770811532,1.8319363365036818,176800.48620120485,2051471.8843387116,0,0.6210169418915616,5954599.862425202
"RBFNet(267,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.019338142360478094,0.6144027947902388,143063.20628120145,1246869.0551494393,0,0.6723357536499337,7307812.5289384285
"RBFNet(289,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.013319555702621996,0.9105734976075324,467174741.5525837,78494.00691587885,0,0.727895384398315,5761253.701117518
"RBFNet(313,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.00976054995233098,1.762227856049531,241990.69361158015,1854305.3604937675,0,0.7880462815669912,5807467.075308413
"RBFNet(339,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.008827016502476795,2.4927004929360015,1379680.3406045742,16374500.926102621,0,0.8531678524172808,5332382.538977793
